week,roster_id,matchup_id,points,players,starters
1,1,1,127.28,11559|11565|12481|12507|12529|4037|4217|4881|5872|6806|6819|7525|9224|PIT,4881|9224|6806|7525|5872|4217|12507|11565|PIT
1,2,3,105.38,10222|11604|11631|12504|12508|12530|2216|4866|4993|6770|7543|8136|8143|96|BAL,6770|4866|7543|11631|2216|11604|8143|96|BAL
1,3,5,84.32,10219|12524|3163|4033|421|4983|4988|6804|7049|7547|7588|7594|8154|8205|9756|CLE,6804|7594|8205|7547|4983|4033|4988|3163|CLE
1,4,6,142.76,10229|11560|11628|12509|12526|3198|4144|4663|4984|5844|7090|7528|9500|9508|SF,4984|3198|7528|11628|9500|5844|12526|11560|SF
1,5,1,109.44,11655|12457|12495|2133|4034|4066|5848|5859|5927|7526|7591|8150|9226|9229|9758|ARI,9758|4034|9226|5859|5927|4066|8150|7591|ARI
1,6,2,101.1,11564|11576|11584|11638|12517|12519|12533|1373|2449|3294|3321|7564|8110|9509|HOU,3294|9509|11584|7564|3321|12517|11638|11564|HOU
1,7,4,108.4,11620|12522|12527|4018|4039|4199|4892|4981|5947|6801|7523|7553|8130|8408|9753|PHI,4892|12527|4199|6801|4981|8130|5947|7523|PHI
1,8,4,153.1,11626|1234|12512|1689|19|4046|5012|5870|6786|8151|8155|9493|9494|9997|NYJ,4046|8155|8151|6786|9493|5012|9997|5870|NYJ
1,9,6,103.16,10859|11563|11566|11589|11624|11632|1339|1479|4035|4137|5045|5892|8144|8676|BUF,11566|4035|4137|11632|5045|10859|11624|11563|BUF
1,10,5,132.5,12469|1466|4098|5022|5846|5850|5967|6797|7611|8112|8134|8146|8183|9488|MIN,8183|5850|5967|8112|9488|1466|5846|6797|MIN
1,11,3,103.56,10236|11635|12483|12484|12489|12490|12501|12518|4943|6768|6783|6794|8138|9221|DET,6768|9221|8138|6794|11635|12518|6783|4943|DET
1,12,2,116.8,11637|12514|5849|6790|6803|6813|6904|7569|8137|8148|8228|9225|9228|9484|DEN,6904|6813|6790|7569|8148|9484|8228|5849|DEN
2,1,1,111.2,11559|11565|12481|12507|12529|1426|4037|4217|4881|5872|6806|6819|7002|7525|8131|9224|PIT,4881|9224|6806|7525|5872|7002|6819|11559|PIT
