roster_id,owner_id,wins,losses,ties,fpts,fpts_against,waiver_position,players,starters
1,466683853101068288,8,6,0,1545,1715,7,11565|11643|11783|12481|12507|12534|4037|4217|4881|5001|5872|6819|7525|9224|JAX|LAR,4881|9224|12507|6819|5872|4217|7525|11565|JAX
2,849415090615717888,5,9,0,1549,1728,3,10213|10222|11604|11631|12508|2216|4866|6770|7543|8121|8126|8136|9482|96|PHI,6770|4866|7543|8126|2216|9482|10222|12508|PHI
3,738827134155522048,5,9,0,1652,1748,4,12506|12524|3163|4033|421|4983|6804|7002|7021|7049|7547|7588|7594|9756|CLE,3163|7021|7588|7547|9756|12506|7049|12524|CLE
4,853800615531347968,6,8,0,1537,1860,2,10229|11560|11647|12495|12499|12526|3198|4144|4984|5844|7090|7528|8132|9500|BAL|SF,4984|8132|3198|12499|9500|5844|12526|11560|BAL
5,739726290625695744,8,6,0,1921,1760,12,11586|11628|1166|2133|4034|5859|5927|7526|7553|7611|8150|8161|9226|9480|9758|NE,8161|4034|9226|5859|5927|7553|8150|1166|NE
6,860946563801911296,8,6,0,1830,1616,10,11564|11584|12474|12517|12519|12533|223|2449|3294|4381|7564|8142|8167|9509|HOU,3294|9509|11584|7564|2449|4381|12519|11564|HOU
7,864203707116552192,7,7,0,1584,1642,6,11620|12493|12527|12545|4018|4039|4199|4892|5947|6130|6801|7523|8130|8205|8408|9753|WAS,4892|4199|12527|5947|11620|8130|6130|7523|WAS
8,987443942218153984,8,6,0,1782,1534,9,11637|12470|12512|12522|1373|4046|5012|6786|8151|8155|9487|9493|9754|9997|PIT,12522|12512|8155|9493|6786|5012|9997|8151|PIT
9,865670496178540544,4,10,0,1540,1779,11,10219|11563|11566|11579|11624|11632|11655|1479|260|3214|3257|4035|5045|5892|7607|8144|BUF,11563|11655|10219|8144|5045|3214|1479|3257|BUF
10,865692370853851136,10,4,0,1937,1727,8,10232|12529|1466|5022|5846|5850|5967|6797|6865|7567|8112|8134|8146|8183|9488|KC|SEA,6797|5850|12529|10232|9488|5022|8112|8183|SEA
11,1134531051994378240,6,8,0,1666,1754,1,10226|10236|11635|12486|12489|12490|12518|4943|6768|6783|6794|8138|9221|CIN|DET,4943|9221|8138|11635|6794|12518|12489|6768|DET
12,1128909535848099840,9,5,0,1930,1609,5,11597|11603|12514|2307|4098|5849|6790|6813|6904|7569|8137|8148|8160|8228|9228|9484|DEN,6904|8228|6813|7569|12514|11603|8137|8148|DEN
