week,transaction_id,type,status,creator,roster_ids,adds,drops
1,1271300096457183232,waiver,complete,865692370853851136,10,LAR:10,MIN:10
1,1271247508252692480,waiver,failed,466683853101068288,1,LAR:1,2309:1
1,1271245996822659072,waiver,complete,466683853101068288,1,1426:1,2309:1
1,1271245935669690368,waiver,failed,466683853101068288,1,9754:1,2309:1
1,1271245855734628352,waiver,complete,466683853101068288,1,7002:1,
1,1271159968027901952,waiver,failed,860946563801911296,6,12506:6,8110:6
1,1271143004958130176,waiver,complete,987443942218153984,8,DAL:8,NYJ:8
1,1271142336423804928,waiver,complete,987443942218153984,8,7670:8,11626:8
1,1271141160668119040,waiver,complete,987443942218153984,8,9754:8,1689:8
1,1270530883597631489,waiver,complete,738827134155522048,3,12506:3,
1,1270530668702470144,free_agent,complete,738827134155522048,3,,10219:3
1,1269474371211108352,free_agent,complete,739726290625695744,5,12495:5,
1,1266511186501832704,free_agent,complete,987443942218153984,8,1689:8,11575:8
1,1266422894099963904,free_agent,complete,865692370853851136,10,4098:10,WAS:10
1,1266032089187221504,waiver,complete,864203707116552192,7,7553:7,
1,1266031723133542400,free_agent,complete,987443942218153984,8,NYJ:8,LV:8
1,1265734725746561024,free_agent,complete,739726290625695744,5,ARI:5,7553:5
1,1265523576665026560,free_agent,complete,738827134155522048,3,10219:3,
2,1273879153900273664,waiver,failed,865670496178540544,9,6111:9,
2,1273876907074555904,waiver,complete,865670496178540544,9,11627:9,
2,1273876770495422464,waiver,failed,865670496178540544,9,8126:9,
2,1273851179142512640,waiver,complete,739726290625695744,5,6111:5,9229:5
2,1273840517200752640,waiver,failed,1134531051994378240,11,6111:11,12483:11
2,1273675134707724288,waiver,failed,849415090615717888,2,11627:2,
2,1273675031611736064,waiver,complete,849415090615717888,2,8126:2,
2,1273674267887669248,waiver,failed,849415090615717888,2,6111:2,
2,1273641742838534144,waiver,complete,987443942218153984,8,GB:8,DAL:8
2,1273641693513519104,waiver,failed,987443942218153984,8,11627:8,19:8
2,1273082732116717568,waiver,failed,1128909535848099840,12,8126:12,9504:12
2,1272332535547858944,free_agent,complete,865692370853851136,10,11562:10,
2,1272026066692620288,free_agent,complete,865692370853851136,10,SEA:10,
2,1271674518200389632,free_agent,complete,466683853101068288,1,8131:1,
2,1271520584768946176,free_agent,complete,739726290625695744,5,7527:5,12495:5
2,1271519251882074112,free_agent,complete,739726290625695744,5,,12457:5
2,1271491134476017664,free_agent,complete,849415090615717888,2,10444:2,4993:2
2,1271425584383160320,free_agent,complete,1128909535848099840,12,9504:12,9225:12
3,1276382599421374465,waiver,failed,739726290625695744,5,LAR:5,TB:5
3,1276382237410992128,waiver,failed,739726290625695744,5,MIN:5,TB:5
3,1276382197976150016,waiver,complete,739726290625695744,5,LAC:5,TB:5
3,1276318802660847616,waiver,failed,849415090615717888,2,8121:2,ATL:2
3,1276199010377412608,waiver,failed,987443942218153984,8,10213:8,8132:8
3,1276168589396709376,waiver,complete,864203707116552192,7,10213:7,7553:7
3,1276032170816712704,waiver,complete,849415090615717888,2,8188:2,ATL:2
3,1275517059404406784,free_agent,complete,865692370853851136,10,NE:10,
3,1275490433920679936,free_agent,complete,849415090615717888,2,ATL:2,12504:2
3,1275488312139714560,free_agent,complete,849415090615717888,2,19:2,2306:2
3,1275381486001872896,free_agent,complete,865670496178540544,9,827:9,19:9
3,1275372185636081664,free_agent,complete,865670496178540544,9,19:9,
3,1275193431638933504,free_agent,complete,1128909535848099840,12,8210:12,9504:12
3,1275183017786114048,free_agent,complete,865692370853851136,10,,4098:10
3,1275005769795792896,free_agent,complete,739726290625695744,5,2307:5,827:5
3,1274994112889638912,free_agent,complete,739726290625695744,5,3214:5,
3,1274878615552524288,free_agent,complete,865692370853851136,10,,LAR:10
3,1274242761234579456,free_agent,complete,739726290625695744,5,827:5,
