player_id,full_name,first_name,last_name,position,team,status
6462,Ellis Richardson,Ellis,Richardson,TE,,Active
11255,Nick Amoah,Nick,Amoah,OL,,Active
8842,Malkelm Morrison,Malkelm,Morrison,CB,,Injured Reserve
13940,Bruno Fina,Bruno,Fina,OL,BUF,Active
7926,Carl Tucker,Carl,Tucker,TE,,Active
1875,C.J. Mosley,C.J.,Mosley,LB,,Active
8478,Samuel Womack,Samuel,Womack,CB,NYJ,Active
995,Ron Parker,Ron,Parker,FS,,Injured Reserve
1408,Le'Veon Bell,Le'Veon,Bell,RB,TB,Active
8074,Matt Seybert,Matt,Seybert,TE,,Active
156,William Gay,William,Gay,CB,,Inactive
7311,Javin White,Javin,White,LB,,Active
2091,Bashaud Breeland,Bashaud,Breeland,CB,ARI,Active
13175,Kinkead Dent,Kinkead,Dent,QB,,Inactive
11533,Brandon Aubrey,Brandon,Aubrey,K,DAL,Active
2508,Amarlo Herrera,Amarlo,Herrera,LB,,Inactive
2199,Kasim Edebali,Kasim,Edebali,DE,,Inactive
2881,Tyler Slavin,Tyler,Slavin,WR,,Inactive
2064,DeMarcus Lawrence,DeMarcus,Lawrence,DE,SEA,Active
1284,Lance Dunbar,Lance,Dunbar,RB,,Inactive
2801,DeAndrew White,DeAndrew,White,WR,,Inactive
4501,Devaroe Lawrence,Devaroe,Lawrence,DT,,Active
5852,DeAndre Baker,DeAndre,Baker,CB,,Active
1073,Taylor Thompson,Taylor,Thompson,TE,,Inactive
13569,Toriano Pride,Toriano,Pride,CB,BUF,Active
3374,Kevon Seymour,Kevon,Seymour,CB,,Active
8012,Corey Straughter,Corey,Straughter,CB,,Active
7918,A.J. Rose,A.J.,Rose,RB,,Active
777,Erik Pears,Erik,Pears,T,,Inactive
13229,Decarius Hawthorne,Decarius,Hawthorne,DL,,Active
13618,Jacob Thomas,Jacob,Thomas,DB,MIN,Active
5428,Ricky Jeune,Ricky,Jeune,WR,,Active
1982,Aaron Colvin,Aaron,Colvin,CB,,Active
12376,Marquis Wilson,Marquis,Wilson,DB,,Active
7882,Christian Uphoff,Christian,Uphoff,DB,,Active
8733,Jake Hummel,Jake,Hummel,LB,HOU,Active
13221,Brett Gabbert,Brett,Gabbert,QB,,Active
11522,Jerome Kapp,Jerome,Kapp,WR,,Active
2474,Nick Boyle,Nick,Boyle,TE,,Active
8852,Ty Clary,Ty,Clary,OL,,Inactive
8809,Aaron Shampklin,Aaron,Shampklin,RB,,Active
9487,Parker Washington,Parker,Washington,WR,JAX,Active
6923,Geno Stone,Geno,Stone,DB,BUF,Active
1907,Johnny Manziel,Johnny,Manziel,QB,,Inactive
7325,Joe Gaziano,Joe,Gaziano,DE,,Active
8716,Jarrid Williams,Jarrid,Williams,OL,,Active
6648,Brock Ruble,Brock,Ruble,OT,,Active
3342,Jakeem Grant,Jakeem,Grant,WR,,Active
1684,Jaron Brown,Jaron,Brown,WR,,Active
3268,Eric Murray,Eric,Murray,DB,JAX,Active
