season,week,status,date,category,last_modified,season_type,sport,player,team,player_id,game_id,updated_at,week_shard,company,opponent,gms_active,pos_rank_half_ppr,pos_rank_ppr,pos_rank_std,gp,st_snp,tm_def_snp,tm_off_snp,tm_st_snp,def_snp,gs,idp_qb_hit,idp_tkl,idp_tkl_ast,idp_tkl_solo,off_snp,bonus_rec_yd_100,rec_0_4,rec_td,rec_ypt,rec_20_29,bonus_fd_wr,pts_std,rec_lng,bonus_rush_rec_yd_100,rec,rec_yar,rec_fd,rec_5_9,bonus_rec_wr,rec_rz_tgt,rec_40p,pts_half_ppr,rec_air_yd,rec_ypr,rec_10_19,rec_td_40p,rec_td_lng,rec_td_50p,rush_rec_yd,rec_tgt,pts_ppr,rec_yd,rec_drop,bonus_rec_te,idp_pass_def,idp_sack,idp_sack_yd,idp_tkl_loss,fum,fum_lost,pass_rush_yd,rush_att,rush_lng,rush_yd,rush_ypa,pr,pr_ypa,pr_lng,pr_yd,idp_fum_rec,bonus_fd_te,pass_int,pass_air_yd,pass_sack_yds,pass_ypc,pass_lng,pass_rtg,bonus_pass_cmp_25,rush_fd,pass_att,pass_rz_att,pass_sack,pass_cmp,cmp_pct,pass_ypa,pass_fd,pass_yd,pass_td,bonus_fd_qb,pass_td_lng,pass_inc,rush_yac,bonus_rec_rb,bonus_fd_rb,idp_int,idp_int_ret_yd,idp_ff,pts_idp,st_tkl_solo,penalty,penalty_yd,punt_in_20,punt_net_yd,punt_yds,punts,fga,fgm,fgm_50p,fgm_lng,fgm_pct,fgm_yds,fgm_yds_over_30,kick_pts,xpa,xpm,bonus_sack_2p,sack,down_4_conv,qb_hit,down_4_pct,down_3_pct,kr_lng,down_3_conv,opp_rush_fd,off_yd_per_play,kr_ypa,opp_fd,int_ret_yd,ff,g2g_pct,rz_pct,kr,down_4_att,int,g2g_conv,kr_yd,rz_att,opp_off_yd_per_play,down_3_att,rush_tkl_loss_yd,opp_pass_fd,opp_off_yd,fum_rec,g2g_att,tkl,rz_conv,fd,rush_rz_att,off_yd,td,rush_tkl_loss,fgm_40_49,def_forced_punts,def_pr_yd,sack_yd,tkl_ast,pts_allow,def_4_and_stop,def_pr,fan_pts_allow_k,def_st_tkl_solo,def_pr_ypa,yds_allow_200_299,def_pr_lng,yds_allow,def_3_and_out,fan_pts_allow_qb,fan_pts_allow_wr,tkl_loss,def_pass_def,fan_pts_allow_te,tkl_solo,fan_pts_allow,pts_allow_7_13,fan_pts_allow_rb,yds_allow_400_449,def_kr_yd,def_kr_ypa,def_kr,def_kr_lng,pts_allow_28_34,rush_td_lng,rush_td,bonus_tkl_10p,pass_td_40p,pass_td_50p,pass_cmp_40p,rec_2pt,rec_30_39,pass_2pt,rush_btkl,st_ff,punt_tb,st_fum_rec,fg_blkd,yds_allow_350_399,misc_ret_yd,pts_allow_21_27,fum_ret_yd,yds_allow_300_349,yds_allow_450_499,pts_allow_14_20,def_st_fum_rec,bonus_pass_yd_300,bonus_rush_yd_100,bonus_rush_att_20,rush_40p,idp_fum_ret_yd,xpmiss,fgm_20_29,fgm_30_39,fgmiss,fgmiss_30_39,pts_allow_1_6,blk_kick,fgmiss_40_49,fgmiss_50p,pass_int_td,idp_blk_kick,def_td,pts_allow_35p,idp_def_td,fgmiss_20_29,xp_blkd,yds_allow_500_549,def_st_ff,fgm_0_19,bonus_def_int_td_50p,idp_pass_def_3p,punt_blkd,idp_safe,rush_2pt,blk_kick_ret_yd,def_st_td,blk_pr_td,safe,blk_kick_ret_td,rush_td_50p,rush_td_40p,st_td,bonus_pass_yd_400,pts_allow_0,kr_td,yds_allow_100_199,ff_misc,tkl_solo_misc,yds_allow_550p,fum_rec_td,bonus_rush_yd_200,bonus_rush_rec_yd_200,pr_td,bonus_rec_yd_200,fg_ret_yd,yds_allow_0_100
2022,1,,2022-09-08,stat,1667597863666,regular,nfl,"{'fantasy_positions': ['QB'], 'first_name': 'Matt', 'injury_body_part': None, 'injury_notes': None, 'injury_start_date': None, 'injury_status': None, 'last_name': 'Barkley', 'metadata': {'channel_id': '1116852732045557760', 'rookie_year': '2013'}, 'news_updated': 1703628021049, 'position': 'QB', 'team': None, 'team_abbr': None, 'team_changed_at': None, 'years_exp': 11}",BUF,1338,202210132,,1_5,sportradar,LAR,1.0,999.0,999.0,999.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,,2022-09-08,stat,1667597863679,regular,nfl,"{'fantasy_positions': ['OG', 'OL'], 'first_name': 'David', 'injury_body_part': None, 'injury_notes': None, 'injury_start_date': None, 'injury_status': None, 'last_name': 'Quessenberry', 'metadata': {'channel_id': '1113708708543623168', 'genius_id': '757957', 'rookie_year': '2013'}, 'news_updated': 1782591612190, 'position': 'OL', 'team': 'LAR', 'team_abbr': None, 'team_changed_at': None, 'years_exp': 13}",BUF,1428,202210132,,1_5,sportradar,LAR,1.0,999.0,999.0,999.0,1.0,5.0,66.0,59.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,,2022-09-08,stat,1667597863707,regular,nfl,"{'fantasy_positions': ['DL'], 'first_name': 'DaQuan', 'injury_body_part': None, 'injury_notes': None, 'injury_start_date': None, 'injury_status': None, 'last_name': 'Jones', 'metadata': {'channel_id': '1113708754303479808', 'genius_id': '796974', 'rookie_year': '2014'}, 'news_updated': 1770145238773, 'position': 'DT', 'team': None, 'team_abbr': None, 'team_changed_at': None, 'years_exp': 12}",BUF,1932,202210132,,1_5,sportradar,LAR,1.0,999.0,999.0,999.0,1.0,3.0,66.0,59.0,16.0,46.0,1.0,1.0,3.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,,2022-09-08,stat,1667597863795,regular,nfl,"{'fantasy_positions': ['OL'], 'first_name': 'Mitch', 'injury_body_part': None, 'injury_notes': None, 'injury_start_date': None, 'injury_status': None, 'last_name': 'Morse', 'metadata': {'channel_id': '1113708889875968000', 'rookie_year': '2015'}, 'news_updated': 1741281025767, 'position': 'C', 'team': None, 'team_abbr': None, 'team_changed_at': None, 'years_exp': 10}",BUF,2354,202210132,,1_5,sportradar,LAR,1.0,999.0,999.0,999.0,1.0,,66.0,59.0,16.0,,1.0,,,,,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,,2022-09-08,stat,1667597863823,regular,nfl,"{'fantasy_positions': ['WR'], 'first_name': 'Stefon', 'injury_body_part': None, 'injury_notes': None, 'injury_start_date': None, 'injury_status': None, 'last_name': 'Diggs', 'metadata': {'channel_id': '1113708787232960512', 'genius_id': '835860', 'rookie_year': '2015'}, 'news_updated': 1785960640141, 'position': 'WR', 'team': 'WAS', 'team_abbr': None, 'team_changed_at': None, 'years_exp': 11}",BUF,2449,202210132,,1_5,sportradar,LAR,1.0,6.0,6.0,5.0,1.0,,66.0,59.0,16.0,,1.0,,,,,38.0,1.0,1.0,1.0,13.56,1.0,4.0,18.2,53.0,1.0,8.0,27.0,4.0,2.0,8.0,1.0,1.0,22.2,95.0,15.25,3.0,1.0,53.0,1.0,122.0,9.0,26.2,122.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,,2022-09-08,stat,1667597863960,regular,nfl,"{'fantasy_positions': ['LB'], 'first_name': 'Tyler', 'injury_body_part': None, 'injury_notes': None, 'injury_start_date': None, 'injury_status': None, 'last_name': 'Matakevich', 'metadata': {'channel_id': '1116852858872922112', 'rookie_year': '2016'}, 'news_updated': 1731258927957, 'position': 'LB', 'team': None, 'team_abbr': None, 'team_changed_at': None, 'years_exp': 9}",BUF,3401,202210132,,1_5,sportradar,LAR,1.0,999.0,999.0,999.0,1.0,13.0,66.0,59.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,,2022-09-08,stat,1667597864145,regular,nfl,"{'fantasy_positions': ['WR'], 'first_name': 'Isaiah', 'injury_body_part': None, 'injury_notes': None, 'injury_start_date': None, 'injury_status': None, 'last_name': 'McKenzie', 'metadata': {'channel_id': '1113708676046155776', 'rookie_year': '2017'}, 'news_updated': 1734502231070, 'position': 'WR', 'team': None, 'team_abbr': None, 'team_changed_at': None, 'years_exp': 8}",BUF,4197,202210132,,1_5,sportradar,LAR,1.0,40.0,46.0,32.0,1.0,2.0,66.0,59.0,16.0,,1.0,,1.0,,1.0,26.0,,,1.0,6.33,,1.0,7.9,12.0,,2.0,1.0,1.0,1.0,2.0,1.0,,8.9,18.0,9.5,1.0,,7.0,,19.0,3.0,9.9,19.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,,2022-09-08,stat,1667597864308,regular,nfl,"{'fantasy_positions': ['QB'], 'first_name': 'John', 'injury_body_part': None, 'injury_notes': None, 'injury_start_date': None, 'injury_status': None, 'last_name': 'Wolford', 'metadata': {'channel_id': '1113708728097468416', 'genius_id': '1007304', 'rookie_year': '2018'}, 'news_updated': 1767546301461, 'position': 'QB', 'team': None, 'team_abbr': None, 'team_changed_at': None, 'years_exp': 8}",LAR,5806,202210132,,1_5,sportradar,BUF,1.0,999.0,999.0,999.0,,,59.0,67.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,,2022-09-08,stat,1667597864338,regular,nfl,"{'fantasy_positions': ['TE'], 'first_name': 'Dawson', 'injury_body_part': None, 'injury_notes': None, 'injury_start_date': None, 'injury_status': None, 'last_name': 'Knox', 'metadata': {'channel_id': '1113708756228665344', 'genius_id': '1014154', 'rookie_year': '2019'}, 'news_updated': 1785014404173, 'position': 'TE', 'team': 'BUF', 'team_abbr': None, 'team_changed_at': None, 'years_exp': 7}",BUF,5906,202210132,,1_5,sportradar,LAR,1.0,49.0,49.0,49.0,1.0,,66.0,59.0,16.0,,1.0,,,,,51.0,,,,2.5,,,0.5,5.0,,1.0,8.0,,1.0,,,,1.0,-3.0,5.0,,,,,5.0,2.0,1.5,5.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,,2022-09-08,stat,1667597864363,regular,nfl,"{'fantasy_positions': ['DL'], 'first_name': 'Greg', 'injury_body_part': None, 'injury_notes': None, 'injury_start_date': None, 'injury_status': None, 'last_name': 'Gaines', 'metadata': {'channel_id': '1113708730425307136', 'genius_id': '1005800', 'rookie_year': '2019'}, 'news_updated': 1772606728067, 'position': 'DT', 'team': None, 'team_abbr': None, 'team_changed_at': None, 'years_exp': 7}",LAR,5981,202210132,,1_5,sportradar,BUF,1.0,999.0,999.0,999.0,1.0,,59.0,67.0,19.0,55.0,1.0,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
