season,status,date,category,last_modified,week,sport,season_type,player_id,player,team,updated_at,game_id,week_shard,company,opponent,gms_active,pos_rank_half_ppr,pos_rank_ppr,pos_rank_std,rank_half_ppr,rank_ppr,rank_std,bonus_rec_te,rec_drop,gp,rec_0_4,tm_def_snp,penalty,rec_td,rec_ypt,rec_20_29,st_snp,pts_std,rec_lng,tm_st_snp,rec,rec_yar,rec_fd,st_tkl_solo,rec_5_9,gs,tm_off_snp,rec_rz_tgt,penalty_yd,off_snp,pts_half_ppr,rec_air_yd,rec_ypr,rec_10_19,rec_td_lng,rush_rec_yd,anytime_tds,rec_tgt,pts_ppr,rec_yd,bonus_fd_te,rush_lng,rec_30_39,bonus_fd_wr,rush_btkl,idp_tkl,pass_rush_yd,rush_fd,idp_tkl_solo,rush_att,rush_ypa,bonus_rec_wr,rec_40p,rush_tkl_loss_yd,rush_yac,rush_rz_att,rush_yd,rush_tkl_loss,rush_td_lng,pass_int,pass_air_yd,pass_sack_yds,rush_td,pass_ypc,pass_lng,pass_rtg,pass_att,fum_lost,pass_sack,pass_cmp,cmp_pct,rush_2pt,pass_ypa,pass_fd,pass_yd,bonus_fd_qb,fum,pass_inc,bonus_rec_rb,bonus_fd_rb,pr,idp_fum_ret_yd,st_fum_rec,kr,pr_ypa,pr_lng,pr_yd,bonus_rec_yd_100,bonus_rush_rec_yd_100,rec_2pt,kr_lng,kr_ypa,kr_yd,st_td,idp_tkl_ast,rush_40p,def_snp,idp_ff,idp_fum_rec,idp_pass_def,idp_qb_hit,idp_sack,idp_sack_yd,idp_tkl_loss,pts_idp,idp_int,idp_pass_def_3p,pass_rz_att,pass_cmp_40p,pass_td,pass_td_lng,bonus_tkl_10p,idp_int_ret_yd,rec_td_40p,pass_td_40p,bonus_pass_cmp_25,bonus_sack_2p,idp_blk_kick,idp_def_td,bonus_def_int_td_50p,st_ff,fgm_40_49,fgm_yds,fgmiss_50p,fga,fgm_yds_over_30,fgm_30_39,xpmiss,fgm,fgmiss,fgmiss_30_39,fgm_20_29,xpm,fgm_lng,xpa,kick_pts,fgm_50p,fgmiss_40_49,fgm_pct,punt_in_20,punt_net_yd,punt_tb,punt_yds,punts,xp_blkd,punt_blkd,fgmiss_20_29,pass_2pt,bonus_rush_att_20,rush_td_40p,fg_blkd,pass_int_td,bonus_pass_yd_300,pass_td_50p,idp_safe,tkl,tkl_solo_misc,rec_td_50p,bonus_rec_yd_200,bonus_rush_rec_yd_200,tkl_ast,tkl_solo,bonus_rush_yd_100,bonus_pass_yd_400,misc_ret_yd,rush_td_50p,fgm_0_19,fum_rec_ez_tds,fum_rec_td,bonus_def_fum_td_50p,misc_td,bonus_rush_yd_200,sack,qb_hit,def_forced_punts,yds_allow_450_499,def_pr_yd,sack_yd,yds_allow_400_449,def_kr_yd,pts_allow,def_4_and_stop,def_pr,fan_pts_allow_k,def_st_tkl_solo,yds_allow_350_399,def_pr_ypa,int_ret_yd,ff,def_kr_ypa,yds_allow_200_299,pts_allow_14_20,def_pr_lng,int,def_st_fum_rec,yds_allow,fan_pts_allow_def,pts_allow_21_27,def_kr,tkl_ast_misc,def_kr_lng,def_3_and_out,fan_pts_allow_qb,fan_pts_allow_wr,tkl_loss,def_pass_def,yds_allow_300_349,fum_rec,fan_pts_allow_te,def_td,fan_pts_allow,td,pts_allow_28_34,pts_allow_35p,fum_ret_yd,def_st_ff,pts_allow_7_13,fan_pts_allow_rb,fg_ret_yd,ff_misc,pts_allow_1_6,safe,yds_allow_100_199,sacks,def_st_td,blk_kick,yds_allow_500_549,pts_allow_0,blk_kick_ret_yd,yds_allow_0_100,pa,yds_allow_550p,sp_fumble_recoveries,down_4_conv,down_4_pct,down_3_pct,down_3_conv,opp_rush_fd,off_yd_per_play,opp_fd,g2g_pct,rz_pct,down_4_att,g2g_conv,rz_att,opp_off_yd_per_play,down_3_att,opp_pass_fd,opp_off_yd,g2g_att,rz_conv,fd,off_yd,pr_td,blk_kick_ret_td,kr_td,blk_pr_td,def_2pt
2023,,,stat,1704707140291,,nfl,regular,10210,"{'fantasy_positions': ['TE'], 'first_name': 'Cameron', 'injury_body_part': None, 'injury_notes': None, 'injury_start_date': None, 'injury_status': None, 'last_name': 'Latu', 'metadata': {'channel_id': '1113708874650644480', 'genius_id': '1081521', 'rookie_year': '2023'}, 'news_updated': 1770920707786, 'position': 'TE', 'team': 'PHI', 'team_abbr': None, 'team_changed_at': None, 'years_exp': 3}",SF,1704707140291,season,,sportradar,,17.0,645,645,644,8170,8170,8168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,,,stat,1704707139245,,nfl,regular,10212,"{'fantasy_positions': ['TE'], 'first_name': 'Josh', 'injury_body_part': None, 'injury_notes': None, 'injury_start_date': None, 'injury_status': None, 'last_name': 'Whyle', 'metadata': {'channel_id': '1113708832116207616', 'genius_id': '1079225', 'rookie_year': '2023'}, 'news_updated': 1782498035775, 'position': 'TE', 'team': 'GB', 'team_abbr': None, 'team_changed_at': None, 'years_exp': 3}",TEN,1704707139245,season,,sportradar,,14.0,70,71,67,450,432,469,9.0,1.0,11.0,1.0,802.0,1.0,1.0,6.27,1.0,85.0,15.4,86.0,311.0,9.0,40.0,7.0,1.0,3.0,3.0,738.0,5.0,5.0,156.0,19.9,54.0,10.44,4.0,2.0,94.0,1.0,15.0,24.4,94.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,,,stat,1704707132683,,nfl,regular,10213,"{'fantasy_positions': ['WR'], 'first_name': 'Tre', 'injury_body_part': None, 'injury_notes': None, 'injury_start_date': None, 'injury_status': None, 'last_name': 'Tucker', 'metadata': {'channel_id': '1113708771403657217', 'genius_id': '1399027', 'rookie_year': '2023'}, 'news_updated': 1785630047099, 'position': 'WR', 'team': 'LV', 'team_abbr': None, 'team_changed_at': None, 'years_exp': 3}",LV,1704707132683,season,,sportradar,,16.0,85,88,81,278,277,276,,1.0,16.0,3.0,1008.0,1.0,2.0,9.74,2.0,55.0,52.8,222.0,390.0,19.0,28.0,10.0,2.0,3.0,1.0,921.0,3.0,5.0,292.0,62.3,303.0,17.42,6.0,30.0,408.0,2.0,34.0,71.8,331.0,,77.0,1.0,14.0,1.0,2.0,77.0,4.0,2.0,10.0,7.7,19.0,3.0,-8.0,13.0,1.0,77.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,,,stat,1704707148250,,nfl,regular,10214,"{'fantasy_positions': ['TE'], 'first_name': 'Davis', 'injury_body_part': 'Quadriceps', 'injury_notes': None, 'injury_start_date': None, 'injury_status': 'Questionable', 'last_name': 'Allen', 'metadata': {'channel_id': '1113708701136482304', 'genius_id': '1399236', 'rookie_year': '2023'}, 'news_updated': 1785829816767, 'position': 'TE', 'team': 'LAR', 'team_abbr': None, 'team_changed_at': None, 'years_exp': 3}",LAR,1704707148250,season,,sportradar,,17.0,69,69,66,445,426,467,10.0,1.0,15.0,2.0,1073.0,2.0,1.0,8.64,1.0,104.0,15.5,51.0,445.0,10.0,75.0,6.0,1.0,4.0,1.0,1081.0,2.0,15.0,142.0,20.5,20.0,9.5,3.0,7.0,95.0,1.0,11.0,25.5,95.0,6.0,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,,,stat,1697877912155,,nfl,regular,10215,"{'fantasy_positions': ['QB'], 'first_name': 'Jake', 'injury_body_part': None, 'injury_notes': None, 'injury_start_date': None, 'injury_status': None, 'last_name': 'Haener', 'metadata': {'channel_id': '1113708684837416960', 'genius_id': '1005706', 'rookie_year': '2023'}, 'news_updated': 1777921513823, 'position': 'QB', 'team': None, 'team_abbr': None, 'team_changed_at': None, 'years_exp': 3}",NO,,season,,sportradar,,7.0,350,350,350,8169,8169,8167,,,,,56.0,,,,,,,,32.0,,,,,,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,,,stat,1703583946307,,nfl,regular,10216,"{'fantasy_positions': ['RB'], 'first_name': 'Kenny', 'injury_body_part': None, 'injury_notes': None, 'injury_start_date': None, 'injury_status': None, 'last_name': 'McIntosh', 'metadata': {'channel_id': '1113708723739586560', 'genius_id': '1399278', 'rookie_year': '2023'}, 'news_updated': 1785724861096, 'position': 'RB', 'team': None, 'team_abbr': None, 'team_changed_at': None, 'years_exp': 3}",SEA,1703583946307,season,,sportradar,,12.0,674,674,673,8168,8168,8166,,,3.0,,275.0,,,,,13.0,,,106.0,,,,,,,246.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,,,stat,1704707169864,,nfl,regular,10217,"{'fantasy_positions': ['QB'], 'first_name': 'Clayton', 'injury_body_part': None, 'injury_notes': None, 'injury_start_date': None, 'injury_status': None, 'last_name': 'Tune', 'metadata': {'channel_id': '1113708848578850817', 'genius_id': '1080877', 'rookie_year': '2023'}, 'news_updated': 1767807057135, 'position': 'QB', 'team': None, 'team_abbr': None, 'team_changed_at': None, 'years_exp': 3}",ARI,1704707169864,season,,sportradar,,17.0,65,65,65,621,635,603,,,7.0,,1053.0,,,,,1.0,9.48,,417.0,,,,,,1.0,1063.0,,,58.0,9.48,,,,,30.0,1.0,,9.48,,,13.0,,,,,92.0,2.0,,8.0,3.75,,,,1.0,1.0,30.0,,1.0,2.0,19.0,41.0,1.0,5.17,18.0,104.1,21.0,1.0,7.0,12.0,155.0,1.0,2.95,3.0,62.0,5.0,2.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,,,stat,1704707151080,,nfl,regular,10218,"{'fantasy_positions': ['WR'], 'first_name': 'Xavier', 'injury_body_part': None, 'injury_notes': None, 'injury_start_date': None, 'injury_status': None, 'last_name': 'Hutchinson', 'metadata': {'channel_id': '1113708787660779521', 'genius_id': '1399255', 'rookie_year': '2023'}, 'news_updated': 1783732256679, 'position': 'WR', 'team': 'HOU', 'team_abbr': None, 'team_changed_at': None, 'years_exp': 3}",HOU,1704707151080,season,,sportradar,,16.0,153,153,151,469,448,500,,,16.0,1.0,1077.0,3.0,,4.74,,127.0,13.9,83.0,434.0,8.0,20.0,3.0,2.0,5.0,,1066.0,1.0,20.0,281.0,17.9,70.0,11.25,1.0,,139.0,,19.0,21.9,90.0,,46.0,1.0,6.0,1.0,,49.0,3.0,,5.0,9.8,8.0,,,9.0,2.0,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,,,stat,1704707166248,,nfl,regular,10219,"{'fantasy_positions': ['RB'], 'first_name': 'Chris', 'injury_body_part': None, 'injury_notes': None, 'injury_start_date': None, 'injury_status': None, 'last_name': 'Rodriguez', 'metadata': {'channel_id': '1113708699303571456', 'genius_id': '1077995', 'rookie_year': '2023'}, 'news_updated': 1785806710859, 'position': 'RB', 'team': 'JAX', 'team_abbr': None, 'team_changed_at': None, 'years_exp': 3}",WAS,1704707166248,season,,sportradar,,15.0,72,78,67,349,373,324,,,13.0,,890.0,,,6.0,,199.0,35.9,12.0,368.0,2.0,19.0,1.0,1.0,2.0,,864.0,,,97.0,36.9,-7.0,6.0,,,259.0,2.0,2.0,37.9,12.0,,96.0,,,5.0,,247.0,12.0,,51.0,4.84,,,-5.0,122.0,7.0,247.0,3.0,12.0,,,,2.0,,,,,1.0,,,,,,,,,1.0,,2.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,,,stat,1704707137149,,nfl,regular,10220,"{'fantasy_positions': ['TE'], 'first_name': 'Will', 'injury_body_part': None, 'injury_notes': None, 'injury_start_date': None, 'injury_status': None, 'last_name': 'Mallory', 'metadata': {'channel_id': '1113708777388929024', 'genius_id': '1073514', 'rookie_year': '2023'}, 'news_updated': 1780529160072, 'position': 'TE', 'team': 'IND', 'team_abbr': None, 'team_changed_at': None, 'years_exp': 3}",IND,1704707137149,season,,sportradar,,12.0,58,54,59,384,369,415,18.0,,12.0,3.0,816.0,,,7.96,,,20.7,129.0,360.0,18.0,89.0,11.0,,6.0,2.0,801.0,1.0,,159.0,29.7,118.0,11.5,8.0,,207.0,,26.0,38.7,207.0,11.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
