player_id,full_name,position,season,status_x,date,category,last_modified,week,sport,season_type,player,team_x,updated_at,game_id,week_shard,company,opponent,gms_active,pos_rank_half_ppr,pos_rank_ppr,pos_rank_std,rank_half_ppr,rank_ppr,rank_std,bonus_rec_te,rec_drop,gp,rec_0_4,tm_def_snp,rec_30_39,penalty,rec_td,rec_ypt,rec_20_29,idp_tkl,st_snp,pts_std,rec_lng,tm_st_snp,rec_2pt,idp_tkl_solo,rec,rec_yar,rec_fd,st_tkl_solo,rec_5_9,gs,tm_off_snp,rec_rz_tgt,penalty_yd,off_snp,pts_half_ppr,rec_air_yd,rec_ypr,rec_10_19,rec_td_lng,rush_rec_yd,anytime_tds,rec_tgt,pts_ppr,rec_yd,bonus_fd_te,rush_lng,rush_td_lng,pr,rush_td,bonus_fd_wr,pass_rush_yd,rush_fd,rush_att,pr_ypa,rush_ypa,bonus_rec_wr,rec_40p,rush_tkl_loss_yd,rush_yac,pr_lng,rec_td_40p,rush_rz_att,rec_td_50p,rush_yd,pr_yd,rush_tkl_loss,idp_tkl_ast,pass_int,pass_air_yd,pass_sack_yds,pass_ypc,pass_lng,pass_rtg,pass_att,pass_rz_att,pass_sack,pass_cmp,cmp_pct,pass_ypa,pass_fd,pass_yd,pass_td,bonus_fd_qb,pass_td_lng,pass_inc,kr_lng,rush_btkl,kr_ypa,kr,kr_yd,bonus_rec_rb,bonus_fd_rb,fum_lost,fum,bonus_rec_yd_100,bonus_rush_rec_yd_100,st_td,pts_idp,idp_ff,idp_fum_rec,def_snp,idp_int,idp_pass_def,idp_tkl_loss,bonus_tkl_10p,idp_qb_hit,idp_sack,pass_td_40p,bonus_pass_cmp_25,bonus_pass_yd_300,pass_td_50p,pass_cmp_40p,idp_sack_yd,bonus_sack_2p,idp_blk_kick,idp_pass_def_3p,bonus_def_fum_td_50p,idp_def_td,idp_fum_ret_yd,idp_int_ret_yd,st_ff,idp_safe,fgm_40_49,fgm_yds,fgmiss_50p,fga,fgm_yds_over_30,fgm_30_39,fgm_50_59,xpmiss,fgm,fgmiss,fgm_20_29,xpm,fgm_lng,fgmiss_50_59,xpa,kick_pts,fgm_50p,fgmiss_40_49,fgm_pct,st_fum_rec,fg_blkd,punt_net_yd,punt_yds,punts,xp_blkd,misc_ret_yd,punt_in_20,punt_tb,fgmiss_30_39,fgmiss_60p,rush_td_50p,rush_40p,rush_td_40p,punt_blkd,fgm_60p,pass_2pt,bonus_rush_yd_100,rush_2pt,bonus_rush_att_20,bonus_pass_yd_400,pass_int_td,bonus_def_int_td_50p,fgmiss_20_29,misc_td,bonus_rush_rec_yd_200,fgm_0_19,fum_rec_ez_tds,fum_rec_td,bonus_rush_yd_200,bonus_rec_yd_200,sack,qb_hit,def_forced_punts,def_pr_yd,sack_yd,yds_allow_400_449,tkl_ast,def_kr_yd,pts_allow,def_4_and_stop,def_pr,fan_pts_allow_k,def_st_tkl_solo,ff_misc,yds_allow_350_399,def_pr_ypa,int_ret_yd,ff,def_kr_ypa,yds_allow_200_299,pts_allow_14_20,def_pr_lng,int,pts_allow_1_6,tkl_solo_misc,yds_allow,fan_pts_allow_def,pts_allow_21_27,def_kr,tkl_ast_misc,def_kr_lng,def_3_and_out,fan_pts_allow_qb,fan_pts_allow_wr,tkl_loss,def_pass_def,yds_allow_300_349,fum_rec,fan_pts_allow_te,def_st_td,tkl,safe,tkl_solo,fan_pts_allow,td,pts_allow_28_34,pts_allow_35p,pts_allow_7_13,fan_pts_allow_rb,def_st_fum_rec,def_td,blk_kick,yds_allow_100_199,fum_ret_yd,pts_allow_0,yds_allow_450_499,yds_allow_500_549,def_st_ff,fg_ret_yd,yds_allow_550p,blk_kick_ret_yd,yds_allow_0_100,def_2pt,down_4_conv,down_4_pct,down_3_pct,down_3_conv,kr_td,opp_rush_fd,off_yd_per_play,opp_fd,g2g_pct,rz_pct,down_4_att,g2g_conv,rz_att,opp_off_yd_per_play,down_3_att,opp_pass_fd,opp_off_yd,g2g_att,rz_conv,fd,off_yd,blk_pr_td,pr_td,blk_kick_ret_td,first_name,last_name,team_y,status_y
10210,Cameron Latu,TE,2024,,,stat,1736070343062.0,,nfl,regular,"{'fantasy_positions': ['TE'], 'first_name': 'Cameron', 'injury_body_part': None, 'injury_notes': None, 'injury_start_date': None, 'injury_status': None, 'last_name': 'Latu', 'metadata': {'channel_id': '1113708874650644480', 'genius_id': '1081521', 'rookie_year': '2023'}, 'news_updated': 1770920707786, 'position': 'TE', 'team': 'PHI', 'team_abbr': None, 'team_changed_at': None, 'years_exp': 3}",CLE,1736070343062.0,season,,sportradar,,15.0,643.0,643.0,643.0,8177.0,8177.0,8175.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cameron,Latu,PHI,Active
10212,Josh Whyle,TE,2024,,,stat,1755719385561.0,,nfl,regular,"{'fantasy_positions': ['TE'], 'first_name': 'Josh', 'injury_body_part': None, 'injury_notes': None, 'injury_start_date': None, 'injury_status': None, 'last_name': 'Whyle', 'metadata': {'channel_id': '1113708832116207616', 'genius_id': '1079225', 'rookie_year': '2023'}, 'news_updated': 1782498035775, 'position': 'TE', 'team': 'GB', 'team_abbr': None, 'team_changed_at': None, 'years_exp': 3}",TEN,1755719385561.0,season,,sportradar,,17.0,42.0,40.0,43.0,326.0,312.0,346.0,28.0,1.0,17.0,6.0,1057.0,1.0,1.0,1.0,6.7,2.0,1.0,92.0,32.8,153.0,456.0,1.0,1.0,28.0,143.0,13.0,2.0,13.0,4.0,1094.0,4.0,10.0,345.0,46.8,105.0,8.86,6.0,13.0,248.0,1.0,37.0,60.8,248.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Josh,Whyle,GB,Active
10213,Tre Tucker,WR,2024,,,stat,1755719380171.0,,nfl,regular,"{'fantasy_positions': ['WR'], 'first_name': 'Tre', 'injury_body_part': None, 'injury_notes': None, 'injury_start_date': None, 'injury_status': None, 'last_name': 'Tucker', 'metadata': {'channel_id': '1113708771403657217', 'genius_id': '1399027', 'rookie_year': '2023'}, 'news_updated': 1785630047099, 'position': 'WR', 'team': 'LV', 'team_abbr': None, 'team_changed_at': None, 'years_exp': 3}",LV,1755719380171.0,season,,sportradar,,17.0,60.0,58.0,61.0,192.0,162.0,212.0,,2.0,17.0,7.0,1115.0,,1.0,3.0,6.65,4.0,3.0,22.0,82.3,324.0,476.0,,2.0,47.0,208.0,21.0,,18.0,14.0,1123.0,5.0,10.0,984.0,105.8,331.0,11.47,15.0,84.0,583.0,4.0,81.0,129.3,539.0,,43.0,3.0,8.0,1.0,23.0,44.0,2.0,9.0,9.0,4.89,47.0,2.0,-8.0,10.0,46.0,1.0,3.0,1.0,44.0,72.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tre,Tucker,LV,Active
10214,Davis Allen,TE,2024,,,stat,1755719393216.0,,nfl,regular,"{'fantasy_positions': ['TE'], 'first_name': 'Davis', 'injury_body_part': None, 'injury_notes': None, 'injury_start_date': None, 'injury_status': None, 'last_name': 'Allen', 'metadata': {'channel_id': '1113708701136482304', 'genius_id': '1399236', 'rookie_year': '2023'}, 'news_updated': 1780442450433, 'position': 'TE', 'team': 'LAR', 'team_abbr': None, 'team_changed_at': None, 'years_exp': 3}",LAR,1755719393216.0,season,,sportradar,,15.0,91.0,90.0,91.0,697.0,605.0,863.0,6.0,2.0,15.0,2.0,978.0,,1.0,,3.0,,1.0,116.0,3.9,18.0,385.0,,1.0,6.0,21.0,2.0,,2.0,5.0,980.0,5.0,10.0,309.0,6.9,18.0,6.5,2.0,,39.0,,13.0,9.9,39.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Davis,Allen,LAR,Active
10215,Jake Haener,QB,2024,,,stat,1755719385034.0,,nfl,regular,"{'fantasy_positions': ['QB'], 'first_name': 'Jake', 'injury_body_part': None, 'injury_notes': None, 'injury_start_date': None, 'injury_status': None, 'last_name': 'Haener', 'metadata': {'channel_id': '1113708684837416960', 'genius_id': '1005706', 'rookie_year': '2023'}, 'news_updated': 1777921513823, 'position': 'QB', 'team': None, 'team_abbr': None, 'team_changed_at': None, 'years_exp': 3}",NO,1755719385034.0,season,,sportradar,,17.0,58.0,58.0,58.0,476.0,504.0,465.0,,,8.0,,1178.0,,,,,,,,14.24,,461.0,,,,,,,,1.0,1088.0,,,82.0,14.24,,,,,22.0,,,14.24,,,19.0,,,,,248.0,,11.0,,2.0,,,,,,,,,22.0,,,,1.0,129.0,55.0,12.56,93.0,62.55,39.0,5.0,6.0,18.0,46.15,5.79,9.0,226.0,1.0,9.0,12.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jake,Haener,,Active
10216,Kenny McIntosh,RB,2024,,,stat,1755719409016.0,,nfl,regular,"{'fantasy_positions': ['RB'], 'first_name': 'Kenny', 'injury_body_part': None, 'injury_notes': None, 'injury_start_date': None, 'injury_status': None, 'last_name': 'McIntosh', 'metadata': {'channel_id': '1113708723739586560', 'genius_id': '1399278', 'rookie_year': '2023'}, 'news_updated': 1785724861096, 'position': 'RB', 'team': None, 'team_abbr': None, 'team_changed_at': None, 'years_exp': 3}",SEA,1755719409016.0,season,,sportradar,,17.0,92.0,94.0,91.0,430.0,433.0,416.0,,,17.0,1.0,1127.0,,,,5.5,,,173.0,19.4,20.0,469.0,,,3.0,17.0,1.0,2.0,1.0,,1100.0,,,75.0,20.9,5.0,7.33,1.0,,194.0,,4.0,22.4,22.0,,78.0,,,,,172.0,8.0,31.0,,5.55,,,,75.0,,,3.0,,172.0,,,,,,,,,,,,,,,,,,,,,,98.0,5.0,25.5,6.0,153.0,3.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kenny,McIntosh,,Active
10217,Clayton Tune,QB,2024,,,stat,1755719411322.0,,nfl,regular,"{'fantasy_positions': ['QB'], 'first_name': 'Clayton', 'injury_body_part': None, 'injury_notes': None, 'injury_start_date': None, 'injury_status': None, 'last_name': 'Tune', 'metadata': {'channel_id': '1113708848578850817', 'genius_id': '1080877', 'rookie_year': '2023'}, 'news_updated': 1767807057135, 'position': 'QB', 'team': None, 'team_abbr': None, 'team_changed_at': None, 'years_exp': 3}",ARI,1755719411322.0,season,,sportradar,,17.0,355.0,355.0,355.0,8193.0,8193.0,8193.0,,,6.0,,1082.0,,,,,,,,-2.08,,432.0,,,,,,,,,1096.0,,,31.0,-2.08,,,,,-4.0,,,-2.08,,,-3.0,,,,,4.0,2.0,7.0,,-0.57,,,-6.0,1.0,,,1.0,,-4.0,,1.0,,,4.0,,4.0,7.0,83.33,2.0,,,2.0,100.0,4.0,,8.0,,2.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Clayton,Tune,,Active
10218,Xavier Hutchinson,WR,2024,,,stat,1755719395495.0,,nfl,regular,"{'fantasy_positions': ['WR'], 'first_name': 'Xavier', 'injury_body_part': None, 'injury_notes': None, 'injury_start_date': None, 'injury_status': None, 'last_name': 'Hutchinson', 'metadata': {'channel_id': '1113708787660779521', 'genius_id': '1399255', 'rookie_year': '2023'}, 'news_updated': 1783732256679, 'position': 'WR', 'team': 'HOU', 'team_abbr': None, 'team_changed_at': None, 'years_exp': 3}",HOU,1755719395495.0,season,,sportradar,,16.0,140.0,138.0,143.0,452.0,430.0,508.0,,2.0,16.0,1.0,1012.0,,,,4.5,,1.0,109.0,11.7,101.0,445.0,,1.0,12.0,37.0,6.0,1.0,3.0,3.0,1044.0,2.0,,493.0,17.7,80.0,9.75,7.0,,117.0,,26.0,23.7,117.0,,,,,,6.0,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,,32.0,1.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Xavier,Hutchinson,HOU,Active
10219,Chris Rodriguez,RB,2024,,,stat,1755719408369.0,,nfl,regular,"{'fantasy_positions': ['RB'], 'first_name': 'Chris', 'injury_body_part': 'Foot', 'injury_notes': None, 'injury_start_date': None, 'injury_status': 'Questionable', 'last_name': 'Rodriguez', 'metadata': {'channel_id': '1113708699303571456', 'genius_id': '1077995', 'rookie_year': '2023'}, 'news_updated': 1785700256224, 'position': 'RB', 'team': 'JAX', 'team_abbr': None, 'team_changed_at': None, 'years_exp': 3}",WAS,1755719408369.0,season,,sportradar,,15.0,77.0,84.0,74.0,370.0,399.0,356.0,,,9.0,,596.0,,,,12.0,,,55.0,30.5,12.0,240.0,,,1.0,11.0,1.0,1.0,,,627.0,,,77.0,31.0,1.0,12.0,1.0,,185.0,2.0,1.0,31.5,12.0,,60.0,9.0,,2.0,,173.0,8.0,35.0,,4.94,,,-3.0,111.0,,,11.0,,173.0,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chris,Rodriguez,JAX,Active
10220,Will Mallory,TE,2024,,,stat,1735033528404.0,,nfl,regular,"{'fantasy_positions': ['TE'], 'first_name': 'Will', 'injury_body_part': None, 'injury_notes': None, 'injury_start_date': None, 'injury_status': None, 'last_name': 'Mallory', 'metadata': {'channel_id': '1113708777388929024', 'genius_id': '1073514', 'rookie_year': '2023'}, 'news_updated': 1780529160072, 'position': 'TE', 'team': 'IND', 'team_abbr': None, 'team_changed_at': None, 'years_exp': 3}",IND,1735033528404.0,season,,sportradar,,10.0,96.0,96.0,94.0,816.0,712.0,962.0,4.0,,10.0,,669.0,,1.0,,3.63,,,15.0,2.9,29.0,277.0,,,4.0,4.0,1.0,,3.0,,650.0,,10.0,93.0,4.9,25.0,7.25,1.0,,29.0,,8.0,6.9,29.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Will,Mallory,IND,Active
10221,Ronnie Bell,WR,2024,,,stat,1736357927668.0,,nfl,regular,"{'fantasy_positions': ['WR'], 'first_name': 'Ronnie', 'injury_body_part': None, 'injury_notes': None, 'injury_start_date': None, 'injury_status': None, 'last_name': 'Bell', 'metadata': {'channel_id': '1113708879033692161', 'genius_id': '1080599', 'rookie_year': '2023'}, 'news_updated': 1767581705434, 'position': 'WR', 'team': 'NO', 'team_abbr': None, 'team_changed_at': None, 'years_exp': 3}",SF,1736357927668.0,season,,sportradar,,14.0,191.0,192.0,192.0,899.0,837.0,988.0,,2.0,9.0,,564.0,,,,3.67,,,13.0,2.2,22.0,238.0,,,2.0,2.0,2.0,,,,586.0,1.0,,113.0,3.2,20.0,11.0,2.0,,22.0,,6.0,4.2,22.0,,,,,,2.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,,23.0,1.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ronnie,Bell,NO,Active
10222,Jayden Reed,WR,2024,,,stat,1755719408356.0,,nfl,regular,"{'fantasy_positions': ['WR'], 'first_name': 'Jayden', 'injury_body_part': None, 'injury_notes': None, 'injury_start_date': None, 'injury_status': None, 'last_name': 'Reed', 'metadata': {'channel_id': '1113708797341233152', 'genius_id': '1074928', 'rookie_year': '2023'}, 'news_updated': 1785442222521, 'position': 'WR', 'team': 'GB', 'team_abbr': None, 'team_changed_at': None, 'years_exp': 3}",GB,1755719408356.0,season,,sportradar,,17.0,26.0,29.0,21.0,83.0,76.0,95.0,,9.0,17.0,12.0,1089.0,6.0,,6.0,11.43,4.0,,62.0,142.0,435.0,435.0,,,55.0,380.0,23.0,,19.0,10.0,1084.0,10.0,,685.0,169.5,477.0,15.58,9.0,117.0,1020.0,7.0,75.0,197.0,857.0,,128.0,33.0,14.0,1.0,29.0,163.0,6.0,20.0,7.86,8.15,55.0,5.0,-7.0,49.0,100.0,1.0,3.0,1.0,163.0,110.0,2.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,1.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jayden,Reed,GB,Active
10223,Eric Gray,RB,2024,,,stat,1755719390615.0,,nfl,regular,"{'fantasy_positions': ['RB'], 'first_name': 'Eric', 'injury_body_part': None, 'injury_notes': None, 'injury_start_date': None, 'injury_status': None, 'last_name': 'Gray', 'metadata': {'channel_id': '1113708681125457921', 'genius_id': '1399234', 'rookie_year': '2023'}, 'news_updated': 1780024825899, 'position': 'RB', 'team': 'NYG', 'team_abbr': None, 'team_changed_at': None, 'years_exp': 3}",NYG,1755719390615.0,season,,sportradar,,17.0,100.0,98.0,104.0,519.0,466.0,644.0,,1.0,17.0,5.0,1094.0,,,,7.45,,,106.0,7.3,48.0,442.0,,,10.0,103.0,3.0,,2.0,,1125.0,2.0,,108.0,12.3,-21.0,8.2,3.0,,113.0,,11.0,17.3,82.0,,23.0,,,,,31.0,1.0,14.0,,2.21,,,-1.0,14.0,,,5.0,,31.0,,1.0,,,,,,,,,,,,,,,,,,,,268.0,,26.38,21.0,554.0,10.0,4.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eric,Gray,NYG,Active
10224,Brayden Willis,TE,2024,,,stat,1755719407258.0,,nfl,regular,"{'fantasy_positions': ['TE'], 'first_name': 'Brayden', 'injury_body_part': None, 'injury_notes': None, 'injury_start_date': None, 'injury_status': None, 'last_name': 'Willis', 'metadata': {'channel_id': '1113708876831682560', 'genius_id': '1076577', 'rookie_year': '2023'}, 'news_updated': 1768433758233, 'position': 'TE', 'team': 'SF', 'team_abbr': None, 'team_changed_at': None, 'years_exp': 3}",SF,1755719407258.0,season,,sportradar,,14.0,642.0,642.0,642.0,8176.0,8176.0,8174.0,,1.0,10.0,,629.0,,2.0,,,,,158.0,,,265.0,,,,,,1.0,,,618.0,,15.0,25.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brayden,Willis,SF,Active
