player_id,full_name,position,season,week,status_x,date,category,last_modified,sport,season_type,player,team_x,updated_at,game_id,week_shard,company,opponent,gms_active,gp,off_snp,pos_rank_half_ppr,pos_rank_ppr,pos_rank_std,rec_tgt,st_snp,tm_def_snp,tm_off_snp,tm_st_snp,def_snp,idp_qb_hit,idp_tkl,idp_tkl_solo,pts_idp,bonus_rec_wr,gs,pts_half_ppr,pts_ppr,pts_std,rec,rec_5_9,rec_air_yd,rec_lng,rec_yd,rec_ypr,rec_ypt,rush_rec_yd,idp_tkl_ast,penalty,penalty_yd,rush_lng,sack,rush_td_lng,qb_hit,fgm_yds,rec_drop,down_3_pct,pass_air_yd,kr_lng,fga,down_3_conv,rush_td,opp_rush_fd,pass_ypc,rush_btkl,pass_lng,off_yd_per_play,kr_ypa,fgm,opp_fd,pass_rtg,rush_fd,pass_att,g2g_pct,rec_yar,rz_pct,kr,down_4_att,fum_lost,g2g_conv,kr_yd,rush_att,rz_att,pass_rz_att,st_tkl_solo,opp_off_yd_per_play,rush_ypa,down_3_att,rec_rz_tgt,fgm_lng,punts,rush_tkl_loss_yd,opp_pass_fd,opp_off_yd,pass_cmp,cmp_pct,rush_yac,g2g_att,tkl,pass_ypa,rz_conv,fd,pass_fd,pass_yd,rush_rz_att,off_yd,rush_yd,td,fum,rush_tkl_loss,idp_tkl_loss,pass_rush_yd,bonus_fd_qb,pass_inc,idp_pass_def,bonus_fd_te,bonus_rec_te,rec_0_4,rec_fd,bonus_rec_rb,rush_40p,bonus_fd_rb,bonus_fd_wr,bonus_rec_yd_100,bonus_rush_rec_yd_100,rec_10_19,rec_20_29,rec_30_39,punt_in_20,punt_net_yd,punt_yds,def_forced_punts,tkl_ast,def_kr_yd,pts_allow,def_4_and_stop,fan_pts_allow_k,def_st_tkl_solo,ff,def_kr_ypa,pts_allow_14_20,yds_allow,fan_pts_allow_def,def_kr,def_kr_lng,fan_pts_allow_qb,fan_pts_allow_wr,tkl_loss,def_pass_def,yds_allow_300_349,fum_rec,fan_pts_allow_te,tkl_solo,fan_pts_allow,fum_ret_yd,fan_pts_allow_rb,pass_sack_yds,pass_sack,idp_fum_rec,idp_fum_ret_yd,idp_sack,idp_sack_yd,fgm_50_59,fgm_50p,fgm_pct,fgm_yds_over_30,kick_pts,xpa,xpm,pass_cmp_40p,anytime_tds,sack_yd,tkl_solo_misc,pts_allow_21_27,def_3_and_out,rec_40p,fgm_40_49,idp_ff,first_td,pr,pr_lng,pr_yd,pr_ypa,bonus_pass_cmp_25,bonus_pass_yd_300,pass_td,pass_td_lng,rec_td,rec_td_lng,down_4_conv,down_4_pct,fgm_20_29,fgm_30_39,xpmiss,def_pr_yd,def_pr,yds_allow_350_399,def_pr_ypa,def_pr_lng,bonus_sack_2p,pass_td_40p,pass_td_50p,pass_int,bonus_rush_yd_100,rush_td_40p,idp_int,idp_pass_def_3p,bonus_tkl_10p,idp_blk_kick,punt_tb,st_ff,bonus_rush_att_20,fg_blkd,pts_allow_7_13,int_ret_yd,int,yds_allow_100_199,yds_allow_200_299,fgmiss,idp_int_ret_yd,fgmiss_50_59,fgmiss_50p,pass_2pt,st_fum_rec,yds_allow_400_449,pts_allow_35p,pts_allow_28_34,def_st_ff,tkl_ast_misc,fgmiss_40_49,rec_td_40p,rec_td_50p,def_st_fum_rec,misc_ret_yd,blk_kick,fgmiss_20_29,fgmiss_30_39,rec_2pt,pts_allow_1_6,fgm_60p,yds_allow_450_499,blk_kick_ret_yd,def_td,bonus_def_int_td_50p,idp_def_td,pass_int_td,xp_blkd,st_td,bonus_def_fum_td_50p,punt_blkd,def_st_td,kr_td,rush_2pt,bonus_pass_yd_400,yds_allow_500_549,bonus_rush_rec_yd_200,pr_td,fgmiss_60p,pts_allow_0,misc_td,blk_kick_ret_td,safe,rush_td_50p,ff_misc,idp_safe,def_2pt,blk_pr_td,fum_rec_ez_tds,fum_rec_td,bonus_rush_yd_200,fgm_0_19,yds_allow_0_100,fg_ret_yd,yds_allow_550p,bonus_rec_yd_200,first_name,last_name,team_y,status_y
11665,Jared Verse,DL,2025,10,,2025-11-09,stat,1762787335016,nfl,regular,"{'fantasy_positions': ['DL'], 'first_name': 'Jared', 'injury_body_part': None, 'injury_notes': None, 'injury_start_date': None, 'injury_status': None, 'last_name': 'Verse', 'metadata': {'channel_id': '1113708703464321024', 'genius_id': '1463684', 'rookie_year': '2024'}, 'news_updated': 1782303630436, 'position': 'DL', 'team': 'CLE', 'team_abbr': None, 'team_changed_at': None, 'years_exp': 2}",LAR,1762787335016,202511031,10_4,sportradar,SF,1.0,1.0,,999.0,999.0,999.0,,3.0,63.0,69.0,25.0,50.0,,1.0,1.0,5.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jared,Verse,CLE,Active
11671,Olu Fashanu,OL,2025,10,,2025-11-09,stat,1762787326692,nfl,regular,"{'fantasy_positions': ['OL'], 'first_name': 'Olu', 'injury_body_part': None, 'injury_notes': None, 'injury_start_date': None, 'injury_status': None, 'last_name': 'Fashanu', 'metadata': {'channel_id': '1113708746858590208', 'genius_id': '1463683', 'rookie_year': '2024'}, 'news_updated': 1749266146992, 'position': 'OL', 'team': 'NYJ', 'team_abbr': None, 'team_changed_at': None, 'years_exp': 2}",NYJ,1762787326692,202511024,10_4,sportradar,CLE,1.0,1.0,49.0,999.0,999.0,999.0,,5.0,73.0,49.0,31.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Olu,Fashanu,NYJ,Active
11685,Kamari Lassiter,DB,2025,10,,2025-11-09,stat,1762787318022,nfl,regular,"{'fantasy_positions': ['DB'], 'first_name': 'Kamari', 'injury_body_part': None, 'injury_notes': None, 'injury_start_date': None, 'injury_status': None, 'last_name': 'Lassiter', 'metadata': {'channel_id': '1113708788268953600', 'genius_id': '1463665', 'rookie_year': '2024'}, 'news_updated': 1770426052802, 'position': 'DB', 'team': 'HOU', 'team_abbr': None, 'team_changed_at': None, 'years_exp': 2}",HOU,1762787318022,202511013,10_4,sportradar,JAX,1.0,1.0,,999.0,999.0,999.0,,,62.0,75.0,26.0,62.0,,2.0,2.0,7.0,,1.0,,,,,,,,,,,,,1.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kamari,Lassiter,HOU,Active
11690,Zach Frazier,OL,2025,10,,2025-11-09,stat,1762816122918,nfl,regular,"{'fantasy_positions': ['OL'], 'first_name': 'Zach', 'injury_body_part': None, 'injury_notes': None, 'injury_start_date': None, 'injury_status': None, 'last_name': 'Frazier', 'metadata': {'channel_id': '1113708820414099456', 'genius_id': '1463723', 'rookie_year': '2024'}, 'news_updated': 1766193020887, 'position': 'OL', 'team': 'PIT', 'team_abbr': None, 'team_changed_at': None, 'years_exp': 2}",PIT,1762816122918,202511029,10_4,sportradar,LAC,1.0,1.0,,999.0,999.0,999.0,,3.0,73.0,52.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zach,Frazier,PIT,Active
11695,Ruke Orhorhoro,DT,2025,10,,2025-11-09,stat,1762787318511,nfl,regular,"{'fantasy_positions': ['DL'], 'first_name': 'Ruke', 'injury_body_part': None, 'injury_notes': None, 'injury_start_date': None, 'injury_status': None, 'last_name': 'Orhorhoro', 'metadata': {'channel_id': '1113708862441025537', 'genius_id': '1463728', 'rookie_year': '2024'}, 'news_updated': 1776461129011, 'position': 'DT', 'team': 'JAX', 'team_abbr': None, 'team_changed_at': None, 'years_exp': 2}",ATL,1762787318511,202511014,10_4,sportradar,IND,1.0,1.0,,999.0,999.0,999.0,,5.0,77.0,63.0,27.0,62.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ruke,Orhorhoro,JAX,Active
11700,Dru Phillips,DB,2025,10,,2025-11-09,stat,1762787309374,nfl,regular,"{'fantasy_positions': ['DB'], 'first_name': 'Dru', 'injury_body_part': None, 'injury_notes': None, 'injury_start_date': None, 'injury_status': None, 'last_name': 'Phillips', 'metadata': {'channel_id': '1113708675077271552', 'genius_id': '1463890', 'rookie_year': '2024'}, 'news_updated': 1767925554757, 'position': 'DB', 'team': 'NYG', 'team_abbr': None, 'team_changed_at': None, 'years_exp': 2}",NYG,1762787309374,202511006,10_4,sportradar,CHI,1.0,1.0,,999.0,999.0,999.0,,,63.0,73.0,24.0,40.0,,4.0,3.0,7.0,,,,,,,,,,,,,,1.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dru,Phillips,NYG,Active
11701,Junior Colson,LB,2025,10,,2025-11-09,stat,1762737843593,nfl,regular,"{'fantasy_positions': ['LB'], 'first_name': 'Junior', 'injury_body_part': 'Shoulder', 'injury_notes': 'Surgery', 'injury_start_date': None, 'injury_status': 'Questionable', 'last_name': 'Colson', 'metadata': {'channel_id': '1113708692060008448', 'genius_id': '1496803', 'rookie_year': '2024'}, 'news_updated': 1756324527032, 'position': 'LB', 'team': 'LAC', 'team_abbr': None, 'team_changed_at': None, 'years_exp': 2}",LAC,1762737843593,202511029,10_4,sportradar,PIT,1.0,,,999.0,999.0,999.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Junior,Colson,LAC,Active
11705,Tykee Smith,DB,2025,10,,2025-11-09,stat,1762787335855,nfl,regular,"{'fantasy_positions': ['DB'], 'first_name': 'Tykee', 'injury_body_part': None, 'injury_notes': None, 'injury_start_date': None, 'injury_status': None, 'last_name': 'Smith', 'metadata': {'channel_id': '1113708727413796864', 'genius_id': '1463906', 'rookie_year': '2024'}, 'news_updated': 1768233035389, 'position': 'DB', 'team': 'TB', 'team_abbr': None, 'team_changed_at': None, 'years_exp': 2}",TB,1762787335855,202511033,10_4,sportradar,NE,1.0,1.0,,999.0,999.0,999.0,,,61.0,69.0,27.0,51.0,1.0,8.0,4.0,24.0,,1.0,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tykee,Smith,TB,Active
11707,Kiran Amegadjie,OL,2025,10,,2025-11-09,stat,1762711396233,nfl,regular,"{'fantasy_positions': ['OL'], 'first_name': 'Kiran', 'injury_body_part': None, 'injury_notes': None, 'injury_start_date': None, 'injury_status': None, 'last_name': 'Amegadjie', 'metadata': {'channel_id': '1113708767079329792', 'genius_id': '1463895', 'rookie_year': '2024'}, 'news_updated': 1785374714408, 'position': 'OL', 'team': 'CHI', 'team_abbr': None, 'team_changed_at': None, 'years_exp': 2}",CHI,1762711396233,202511006,10_4,sportradar,NYG,1.0,,,999.0,999.0,999.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kiran,Amegadjie,CHI,Active
11709,Matt Goncalves,OL,2025,10,,2025-11-09,stat,1762916938891,nfl,regular,"{'fantasy_positions': ['OL'], 'first_name': 'Matt', 'injury_body_part': None, 'injury_notes': None, 'injury_start_date': None, 'injury_status': None, 'last_name': 'Goncalves', 'metadata': {'channel_id': '1113708779968425984', 'genius_id': '1463899', 'rookie_year': '2024'}, 'news_updated': 1781619623360, 'position': 'OL', 'team': 'IND', 'team_abbr': None, 'team_changed_at': None, 'years_exp': 2}",IND,1762916938891,202511014,10_4,sportradar,ATL,1.0,1.0,77.0,999.0,999.0,999.0,,,63.0,77.0,27.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matt,Goncalves,IND,Active
